"stop_lat","stop_entre","stop_lon","stop_numero","stop_calle","stop_id","stop_name"
-32.9921751545,"Ruta 50",-68.6850533588,"","Ruta Provincial 50","M2837","30454"
-32.9880234085,"T. SOSA",-68.7820977445,"601","Sosa T.","M2838","29513"
-32.9889221382,"FURLOTTI",-68.7827140324,"1","Carlos Pellegrini","M2839","29514"
-32.9889997553,"FURLOTTI",-68.7827261024,"102","Carlos Pellegrini","M2840","29515"
-32.9897561371,"Ruta 50",-68.6886334363,"","Ruta Provincial 50","M2841","29516"
-32.9920328556,"Ruta 50",-68.6860350463,"202","Ruta Provincial 50","M2842","30453"
-32.990689879,"CAPETILLO",-68.7832062178,"201","Carlos Pellegrini","M2843","29518"
-32.99074331,"CAPETILLO",-68.7832082294,"302","Carlos Pellegrini","M2844","29519"
-32.9921527519,"GIL",-68.7836635344,"401","Carlos Pellegrini","M2845","29520"
-32.992172937,"PELLEGRINI",-68.783720598,"501","Gil","M2846","29521"
-32.9918883508,"ESTRADA",-68.7851549093,"401","Gil","M2847","29522"
-32.9914886708,"VIGIL CC",-68.7864164008,"402","Gil","M2848","29523"
-32.991552583,"VIGIL CC",-68.7868299488,"301","Gil","M2849","29524"
-32.9092532726,"Ponce",-68.7342302329,"","Godoy Cruz","M2850","12202"
-32.9091406825,"Ponce",-68.7339284844,"","Godoy Cruz","M2851","12203"
-32.9904881878,"SERNA",-68.7925938765,"1","Ozamis JA","M2852","29527"
-32.992332142,"Ruta 50",-68.6838670648,"","Ruta Provincial 50","M2853","30455"
-32.9909609086,"LEMOS",-68.7896147523,"202","Gil","M2854","29529"
-32.9909450637,"GIL",-68.7896537909,"401","Lemos M.","M2855","29530"
-32.9905120882,"CORRIENTES",-68.7905890648,"102","Gil","M2856","29531"
-32.908368902,"Sanchez",-68.7392820453,"","Godoy Cruz","M2857","12204"
-32.9895368638,"CIRCUITO",-68.7922859765,"","Ozamis JA","M2858","29533"
-32.9193812926,"Defensa",-68.7413219935,"","Alvarez A.","M2859","12208"
-32.9892841211,"Capetillo",-68.7905920239,"302","Corrientes","M2860","Corrientes 302, Maipú"
-32.9867168485,"Ruta 50",-68.6911345703,"","Ruta Provincial 50","M2861","30450"
-32.9886716918,"R. DEL LIBANO",-68.7889081368,"101","Lemos M.","M2862","29537"
-32.9883447249,"CORRIENTES",-68.7903892988,"51","República del Líbano","M2863","29538"
-32.9610686035,"Ruta 50",-68.7084124519,"","Ruta Provincial 50","M2864","27449"
-32.988035701,"R. DEL LIBANO",-68.7918588347,"","Ozamis JA","M2865","29540"
-32.9876283913,"FURLOTTI",-68.7900435895,"102","Corrientes","M2866","29541"
-32.8760282307,"N. SRA DEL CARMEN",-68.7725961594,"","Profesor Mathus","M2867","16101"
-32.8912367869,"J.E.SERU",-68.7595606236,"","SIR. F.C.N.G.S.M","M2868","16102"
-32.8924665117,"J.E.SERU",-68.7587935118,"","CIR. F.C.N.S.G.M","M2869","16103"
-32.892579123,"TIRASSO",-68.7589919953,"","J.E. SERU","M2870","16104"
-32.8927052475,"J.E.SERU",-68.7577125816,"","Tirasso","M2871","16105"
-32.8939574738,"MENDOZA",-68.7612450509,"","Seru","M2872","16106"
-32.8936489233,"SCHEMERS",-68.7609982877,"","Seru","M2873","16107"
-32.894939423,"MENDOZA",-68.762221375,"","Seru","M2874","16108"
-32.8941308922,"IGUERITAS",-68.7643188624,"","Mendoza","M2875","16109"
-32.8940655788,"MENDOZA",-68.7643725066,"","Higuerita","M2876","16110"
-32.8949754576,"J.E.SERU",-68.7623447566,"","Mendoza","M2877","16111"
-32.8959371263,"MENDOZA",-68.7590375929,"","Tirasso","M2878","16112"
-32.8965425399,"LA VENDIMIA",-68.7588147733,"","La Vendimia","M2879","16113"
-32.898564924,"TRIUNVIRATO",-68.7594960544,"","Tirasso","M2880","16114"
-32.8981404073,"TIRASSO ",-68.7594893488,"","Ropolo","M2881","16115"
-32.8973105108,"TIRASSO",-68.7593512151,"","Esmeralda","M2882","16116"
-32.8971911492,"ESMERALDA",-68.7592412445,"","Tirasso","M2883","16117"
-32.8967227096,"CABILDO",-68.7617652032,"","Esmeralda","M2884","16118"
-32.8967429787,"ESMERALDA",-68.7622131321,"","Cabildo","M2885","16119"
-32.8975469814,"CABILDO",-68.7624706242,"","Ropolo","M2886","16120"
-32.8974720991,"ROPOLO",-68.7625095162,"","Cabildo","M2887","16121"
-32.8967227096,"HIGUERITA",-68.7661747548,"","Ropolo","M2888","16122"
-32.8965593503,"JULIO ARGENTINO ROCA",-68.7662367801,"","Higuerita","M2889","16123"
-32.8966281205,"HIGUERITA",-68.7663517806,"","Julio Argentino Roca","M2890","16124"
-32.8956529465,"FERREYRA",-68.767486355,"","Julio Argentino Roca","M2891","16125"
-32.8955572056,"FERREYRA",-68.7677351203,"","Julio Argentino Roca","M2892","16126"
-32.8946585936,"GUATEMALA",-68.7692478862,"","Julio Argentino Roca","M2893","16127"
-32.8931451212,"NOCTEZUMA",-68.7725040879,"","Julio Argentino Roca","M2894","16128"
-32.8920798194,"URQUIZA",-68.7748027411,"","Julio Argentino Roca","M2895","16129"
-32.891266758,"URQUIZA",-68.7762323585,"","Julio Argentino Roca","M2896","16130"
-32.8891856471,"URQUIZA",-68.7793115344,"","Julio Argentino Roca","M2897","16131"
-32.891787028,"VICTORIA",-68.7753606405,"","Julio Argentino Roca","M2898","16132"
