"route_id","route_short_name","route_type","route_desc"
"182","182","Bus","182 MAIP.C.DE PIEDRA"
"182","182","Bus","182C.P.SUP.MPUMZA"
"182","182","Bus","182 MAIPU CHACHINGO"
"182","182","Bus","182CHRUSS.SUP.MPUMZA"
"182","182","Bus","182REC.LUNL.S.MPUMZA"
"182","182","Bus","182MZA MPU.S.3E.LUNL"
"182","182","Bus","182 LUNLUNTA MAIPU"
"182","182","Bus","182MZA MAIP.SUP.LUNL"
"182","182","Bus","182 LUNL.MAIPU MZA"
"183","183","Bus","183MZA MPU.BARRANCAS"
"183","183","Bus","183 BARR.ALT.MPU.MZA"
"183","183","Bus","183MZA MPU.SUP.BAR.A"
"183","183","Bus","183BARR.A.SUP.MPUMZA"
"183","183","Bus","183MZA MAP.BARR.ALT"
"183","183","Bus","183BARR.A.SUP.MPUMZA"
"183","183","Bus","183MZA MAIP.BARR.ALT"
"183","183","Bus","183BARR.C.SUP.MPUMZA"
"183","183","Bus","183MAIPU BARR.CARRIL"
"183","183","Bus","183BARR.ALT.MAIP.MZA"
"183","183","Bus","183MPU.R.60 BARR.ALT"
"183","183","Bus","183BARRC.R60 MPU.MZA"
"183","183","Bus","183MZA BARR.xURQ.ALT"
"183","183","Bus","183BARRxURQ.A.MPUMZA"
"183","183","Bus","183MPU BARR.URQ.CARR"
"183","183","Bus","183BARRxURQ.A.MPUMZA"
"183","183","Bus","183BARR.URQ.CARR.MPU"
"183","183","Bus","183MZA MPU.BAR.URQ.A"
"183","183","Bus","183BARR x CARRIL.MPU"
"183","183","Bus","183MZA MPU.BARRURQ.A"
"183","183","Bus","MAIPU MZA(BARR.)"
"183","183","Bus","183MZA MPU.BAR.URQ.A"
"183","183","Bus","183BARR.URQ.ALT.MPU"
"183","183","Bus","183BARR.A.SUP.MPUMZA"
"183","183","Bus","183MZA MPU.SUP.BARR"
